Filename, Success, bbox_x1, bbox_y1, bbox_x2, bbox_y2, score
1_s0_fi0_fu0_b0_l0, 1,  467,  505,  526,  594, 1.00
1_s0_fi1_fu1_b0_l0, 1,  467,  511,  526,  602, 1.00
1_s0_fi1_fu2_b0_l0, 1,  466,  509,  526,  599, 1.00
1_s0_fi2_fu1_b0_l0, 1,  472,  512,  531,  601, 1.00
1_s0_fi2_fu2_b0_l0, 1,  471,  511,  532,  601, 1.00
1_s0_fi3_fu1_b0_l0, 1,  474,  515,  536,  607, 1.00
1_s0_fi3_fu2_b0_l0, 1,  470,  516,  531,  608, 1.00
1_s0_fi0_fu0_b0_l1, 1,  447,  508,  511,  597, 1.00
1_s0_fi1_fu1_b0_l1, 1,  455,  513,  517,  604, 1.00
1_s0_fi1_fu2_b0_l1, 1,  456,  511,  516,  600, 1.00
1_s0_fi2_fu1_b0_l1, 1,  453,  515,  514,  608, 1.00
1_s0_fi2_fu2_b0_l1, 1,  462,  508,  523,  598, 1.00
1_s0_fi3_fu1_b0_l1, 1,  460,  516,  524,  609, 1.00
1_s0_fi3_fu2_b0_l1, 1,  465,  516,  525,  609, 1.00
1_s0_fi0_fu0_b1_l0, 1,  443,  525,  508,  617, 1.00
1_s0_fi1_fu1_b1_l0, 1,  433,  522,  501,  615, 1.00
1_s0_fi1_fu2_b1_l0, 1,  442,  522,  505,  616, 1.00
1_s0_fi2_fu1_b1_l0, 1,  438,  530,  502,  625, 1.00
1_s0_fi2_fu2_b1_l0, 1,  440,  530,  503,  626, 1.00
1_s0_fi3_fu1_b1_l0, 1,  458,  531,  521,  623, 1.00
1_s0_fi3_fu2_b1_l0, 1,  431,  528,  497,  622, 1.00
1_s0_fi0_fu0_b1_l1, 1,  393,  545,  472,  648, 1.00
1_s0_fi1_fu1_b1_l1, 1,  396,  545,  470,  644, 1.00
1_s0_fi1_fu2_b1_l1, 1,  406,  549,  478,  654, 1.00
1_s0_fi2_fu1_b1_l1, 1,  423,  540,  489,  639, 1.00
1_s0_fi2_fu2_b1_l1, 1,  403,  542,  479,  638, 1.00
1_s0_fi3_fu1_b1_l1, 1,  413,  543,  488,  642, 1.00
1_s0_fi3_fu2_b1_l1, 1,  410,  544,  484,  646, 1.00
1_s1_fi0_fu0_b0_l0, 1,  522,  453,  585,  516, 0.99
1_s1_fi1_fu1_b0_l0, 1,  562,  462,  619,  542, 1.00
1_s1_fi1_fu2_b0_l0, 1,  555,  454,  612,  522, 1.00
1_s1_fi2_fu1_b0_l0, 1,  535,  477,  590,  555, 0.99
1_s1_fi2_fu2_b0_l0, 1,  507,  468,  565,  553, 0.98
1_s1_fi3_fu1_b0_l0, 1,  515,  462,  574,  539, 0.99
1_s1_fi3_fu2_b0_l0, 1,  506,  472,  564,  552, 0.99
1_s1_fi0_fu0_b0_l1, 1,  445,  449,  509,  535, 1.00
1_s1_fi1_fu1_b0_l1, 1,  523,  494,  585,  583, 1.00
1_s1_fi1_fu2_b0_l1, 1,  482,  478,  548,  571, 1.00
1_s1_fi2_fu1_b0_l1, 1,  506,  489,  574,  581, 1.00
1_s1_fi2_fu2_b0_l1, 1,  534,  488,  596,  574, 1.00
